KOTAK,HDFC,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6,6,6,6,6.5,5.75,5.8,,6.5,5.25
6.5,6,6,6,6.5,5.75,5.8,,6.5,5.25
7.1,6.6,6.7,6.75,6.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.75,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.75,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.75,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.75,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
